epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7704,1.33036,2.93785,1.11218,0.60948,0.2633,0.27395,0.1724,1.13299,2.74898,1.09136,0.000158075,0.000158075,0.000158075
2,53.438,1.2093,1.35098,1.05769,0.55174,0.27916,0.34208,0.22893,1.15957,2.43799,1.18272,0.00031047,0.00031047,0.00031047
3,78.8322,1.19243,1.13977,1.06179,0.46527,0.42933,0.37017,0.25579,1.16254,2.28584,1.20986,0.000456582,0.000456582,0.000456582
4,105.378,1.15628,1.02208,1.04882,0.57312,0.31978,0.36782,0.25529,1.18845,2.4693,1.21477,0.000447726,0.000447726,0.000447726
5,130.832,1.12243,0.94366,1.02886,0.66446,0.36137,0.38676,0.25796,1.17603,2.388,1.21648,0.000438301,0.000438301,0.000438301
6,155.74,1.10455,0.87972,1.02217,0.65972,0.33774,0.36433,0.24725,1.17972,2.41467,1.18179,0.000428876,0.000428876,0.000428876
7,180.534,1.08659,0.83767,1.01491,0.61306,0.42964,0.45304,0.29987,1.18637,2.03875,1.20588,0.000419451,0.000419451,0.000419451
8,205.921,1.06437,0.78506,0.99839,0.66932,0.37269,0.4556,0.31392,1.13946,2.02811,1.14906,0.000410026,0.000410026,0.000410026
9,231.485,1.05784,0.76049,0.99644,0.56903,0.40509,0.47361,0.33443,1.14477,1.96425,1.14207,0.000400602,0.000400602,0.000400602
10,256.412,1.03801,0.73852,0.9936,0.67146,0.39766,0.45448,0.32644,1.09982,2.0027,1.10079,0.000391177,0.000391177,0.000391177
11,281.23,1.03139,0.7289,0.99307,0.66375,0.41475,0.4621,0.31914,1.14619,1.98574,1.1334,0.000381752,0.000381752,0.000381752
12,306.145,1.02219,0.68607,0.97491,0.67208,0.47964,0.48464,0.33854,1.10299,1.86286,1.10452,0.000372327,0.000372327,0.000372327
13,330.988,1.00222,0.67247,0.97931,0.69438,0.39989,0.4637,0.33504,1.06488,1.93181,1.07206,0.000362902,0.000362902,0.000362902
