epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,355.787,0.98434,0.64932,0.97067,0.70147,0.40874,0.46191,0.32708,1.09742,1.91914,1.09615,0.000353478,0.000353478,0.000353478
15,380.448,0.96651,0.64514,0.96631,0.65033,0.43328,0.45108,0.31502,1.10847,1.9362,1.10812,0.000344053,0.000344053,0.000344053
16,405.282,0.96636,0.63329,0.9594,0.65642,0.43008,0.47054,0.34225,1.05109,1.74448,1.09865,0.000334628,0.000334628,0.000334628
17,430.173,0.94428,0.60555,0.94888,0.69153,0.40108,0.44694,0.32205,1.0581,1.99936,1.0849,0.000325203,0.000325203,0.000325203
18,455.202,0.94286,0.60446,0.95157,0.70516,0.40503,0.44794,0.31285,1.11166,1.96379,1.14388,0.000315778,0.000315778,0.000315778
19,479.975,0.92565,0.59148,0.94202,0.68633,0.43084,0.45147,0.32381,1.08504,1.83999,1.09888,0.000306354,0.000306354,0.000306354
20,504.864,0.93363,0.58048,0.95337,0.73663,0.43163,0.50094,0.35946,1.09249,1.95961,1.09176,0.000296929,0.000296929,0.000296929
21,529.596,0.91857,0.57621,0.9396,0.58774,0.51965,0.48302,0.33942,1.09579,1.92128,1.11993,0.000287504,0.000287504,0.000287504
22,554.384,0.90897,0.56454,0.9377,0.66718,0.44225,0.4748,0.3312,1.0763,1.93472,1.09012,0.000278079,0.000278079,0.000278079
23,579.216,0.89724,0.5392,0.93709,0.64788,0.46054,0.47799,0.34,1.10551,1.86422,1.11815,0.000268654,0.000268654,0.000268654
24,604.093,0.90963,0.54911,0.93426,0.72433,0.44397,0.50787,0.36705,1.06169,1.73434,1.09791,0.00025923,0.00025923,0.00025923
25,628.887,0.892,0.52922,0.93235,0.79781,0.42728,0.51693,0.37423,1.03682,1.81981,1.06841,0.000249805,0.000249805,0.000249805
26,654.381,0.86933,0.52442,0.92553,0.69448,0.47599,0.48461,0.35852,1.03703,1.99275,1.07214,0.00024038,0.00024038,0.00024038
27,680.072,0.8918,0.53317,0.92625,0.57615,0.52813,0.48414,0.35372,1.07885,1.84039,1.10078,0.000230955,0.000230955,0.000230955
28,704.909,0.86533,0.50459,0.92852,0.67424,0.42582,0.47843,0.35017,1.05467,1.86352,1.09729,0.00022153,0.00022153,0.00022153
29,729.763,0.86093,0.5043,0.91976,0.72634,0.43687,0.52138,0.39199,1.00602,1.93895,1.05603,0.000212106,0.000212106,0.000212106
30,754.632,0.85361,0.49228,0.91725,0.63643,0.54269,0.49976,0.35914,1.06779,1.9511,1.06963,0.000202681,0.000202681,0.000202681
31,779.505,0.84647,0.48799,0.91102,0.5943,0.54544,0.49441,0.37069,1.00203,2.03374,1.04977,0.000193256,0.000193256,0.000193256
32,804.348,0.84408,0.48675,0.92051,0.66311,0.49177,0.51891,0.38331,1.00622,1.97808,1.0585,0.000183831,0.000183831,0.000183831
33,829.197,0.83243,0.47758,0.91355,0.74699,0.44995,0.52108,0.37967,1.0123,1.91593,1.05326,0.000174406,0.000174406,0.000174406
34,854.419,0.83535,0.47723,0.90796,0.76483,0.40459,0.51406,0.37466,1.05258,1.99932,1.09882,0.000164982,0.000164982,0.000164982
35,879.896,0.8294,0.46634,0.91202,0.59996,0.58878,0.52076,0.37441,1.02863,1.98391,1.06455,0.000155557,0.000155557,0.000155557
36,905.07,0.81436,0.45013,0.90535,0.76216,0.46279,0.52538,0.38966,1.01351,2.02939,1.05748,0.000146132,0.000146132,0.000146132
37,930.835,0.79968,0.44805,0.89998,0.73967,0.47547,0.51725,0.37822,1.01314,2.05315,1.05789,0.000136707,0.000136707,0.000136707
38,955.879,0.7957,0.44533,0.89741,0.71861,0.4827,0.5096,0.37807,0.99917,1.92468,1.04904,0.000127282,0.000127282,0.000127282
39,980.718,0.78355,0.43473,0.89364,0.63467,0.51287,0.48029,0.34704,1.0143,2.13429,1.06831,0.000117858,0.000117858,0.000117858
40,1005.64,0.78443,0.43458,0.8944,0.62323,0.49749,0.49817,0.36361,1.02477,1.99416,1.08467,0.000108433,0.000108433,0.000108433
41,1041.56,0.75012,0.40462,0.87013,0.74369,0.45383,0.51331,0.37846,1.03014,2.0552,1.07639,9.9008e-05,9.9008e-05,9.9008e-05
42,1067.25,0.74656,0.39418,0.86978,0.65411,0.48858,0.50918,0.37756,1.03105,2.06674,1.06902,8.95832e-05,8.95832e-05,8.95832e-05
43,1092.05,0.73447,0.38348,0.86731,0.76403,0.42897,0.51027,0.37742,1.04506,2.03228,1.07929,8.01584e-05,8.01584e-05,8.01584e-05
44,1116.75,0.7307,0.38299,0.86312,0.61691,0.4914,0.49622,0.36783,1.05483,2.05626,1.09586,7.07336e-05,7.07336e-05,7.07336e-05
45,1141.39,0.71591,0.37118,0.86213,0.77613,0.42652,0.5196,0.38357,1.04795,1.97619,1.09228,6.13088e-05,6.13088e-05,6.13088e-05
46,1166.09,0.70721,0.36679,0.85769,0.75693,0.4405,0.51873,0.39126,1.01574,2.03871,1.06119,5.1884e-05,5.1884e-05,5.1884e-05
47,1190.83,0.70005,0.3628,0.85709,0.77277,0.43042,0.5345,0.3954,1.03813,1.98166,1.07843,4.24592e-05,4.24592e-05,4.24592e-05
48,1215.63,0.69515,0.35695,0.85605,0.76563,0.43799,0.51485,0.37935,1.02112,1.97081,1.07229,3.30344e-05,3.30344e-05,3.30344e-05
49,1240.29,0.68642,0.35746,0.85463,0.75345,0.42599,0.51771,0.37725,1.0347,1.97762,1.07992,2.36096e-05,2.36096e-05,2.36096e-05
50,1265.12,0.69018,0.35432,0.85515,0.74547,0.43705,0.53,0.38852,1.02725,1.95857,1.07431,1.41848e-05,1.41848e-05,1.41848e-05
